KEGG_ko,Core_count,Variable_count,Core_norm,Variable_norm,KO_Difference,Z_score,p_value,BH_corrected_p_value,Bonferroni_corrected_p_value,Significant_BH,Significant_Bonferroni,Description,Preferred_name,PFAMs,Group,
ko:K02120,0,10,-0.18401784,0.147772617,-0.331790457,-1.841459143,0.065554303,1,1,FALSE,FALSE,Produces ATP from ADP in the presence of a proton gradient across the membrane,atpD,ATP-synt_D,Atribacteria,
ko:K07089,0,10,-0.18401784,0.147772617,-0.331790457,-1.841459143,0.065554303,1,1,FALSE,FALSE,Predicted permease,-,ArsP_1,Atribacteria,
ko:K07335,0,10,-0.18401784,0.147772617,-0.331790457,-1.841459143,0.065554303,1,1,FALSE,FALSE,basic membrane,-,Bmp,Atribacteria,
ko:K07497,0,9,-0.18401784,0.125490567,-0.309508407,-1.717792281,0.08583451,1,1,FALSE,FALSE,Integrase catalytic region,-,"HTH_21,rve",Atribacteria,
ko:K03671,0,9,-0.18401784,0.125490567,-0.309508407,-1.717792281,0.08583451,1,1,FALSE,FALSE,Belongs to the thioredoxin family,trxA,Thioredoxin,Atribacteria,
ko:K07257,0,9,-0.18401784,0.125490567,-0.309508407,-1.717792281,0.08583451,1,1,FALSE,FALSE,Aldo Keto reductase,-,Aldo_ket_red,Atribacteria,
ko:K00567,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,PFAM Methylated-DNA- protein -cysteine S-methyltransferase DNA binding,ogt,DNA_binding_1,Atribacteria,
ko:K01733,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,Threonine synthase,thrC,"PALP,Thr_synth_N",Atribacteria,
ko:K07090,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,Sulfite exporter TauE/SafE,-,TauE,Atribacteria,
ko:K00627,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,of components of various dehydrogenase complexes,-,"2-oxoacid_dh,Biotin_lipoyl,E3_binding",Atribacteria,
ko:K02669,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,secretion system protein,pilT,T2SSE,Atribacteria,
ko:K00930,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,Zincin-like metallopeptidase,MA20_43655,Zincin_1,Atribacteria,
ko:K00865,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,Belongs to the glycerate kinase type-1 family,glxK,Gly_kinase,Atribacteria,
ko:K00180,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,"indolepyruvate ferredoxin oxidoreductase, beta subunit",iorB,POR,Atribacteria,
ko:K04744,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,Organic solvent tolerance protein OstA,-,LptC,Atribacteria,
ko:K01892,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,"PFAM tRNA synthetase, class II (G, H, P and S)",hisS,"HGTP_anticodon,tRNA-synt_His",Atribacteria,
ko:K00986,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,Reverse transcriptase,-,"GIIM,RVT_1",Atribacteria,
ko:K12340,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,efflux transmembrane transporter activity,czcC,OEP,Atribacteria,
ko:K01779,0,8,-0.18401784,0.103208517,-0.287226357,-1.594125418,0.110907947,1,1,FALSE,FALSE,Belongs to the aspartate glutamate racemases family,-,Asp_Glu_race,Atribacteria,
ko:K10439,5,18,0.041006193,0.326029017,-0.285022824,-1.581895665,0.113673391,1,1,FALSE,FALSE,ABC-type sugar transport system periplasmic component,-,Peripla_BP_4,Atribacteria,
ko:K02004,6,20,0.086010999,0.370593117,-0.284582118,-1.579449715,0.114232942,1,1,FALSE,FALSE,ABC-type transport system involved in lipoprotein release permease component,-,"FtsX,MacB_PCD",Atribacteria,
ko:K02026,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,Binding-protein-dependent transport system inner membrane component,-,BPD_transp_1,Atribacteria,
ko:K05568,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,PFAM NADH Ubiquinone plastoquinone (complex I),-,Proton_antipo_M,Atribacteria,
ko:K07483,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,PFAM transposase IS3 IS911 family protein,-,HTH_Tnp_1,Atribacteria,
ko:K12527,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,FAD binding domain,ygfK,"Fer4,Fer4_20,Fer4_7,GXGXG,Pyr_redox_2,Pyr_redox_3",Atribacteria,
ko:K07001,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,Patatin-like phospholipase,-,Patatin,Atribacteria,
ko:K00609,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,Aspartate carbamoyltransferase,pyrB,"OTCace,OTCace_N",Atribacteria,
ko:K02652,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,PFAM type II secretion system protein E,-,"T2SSE,T2SSE_N",Atribacteria,
ko:K06927,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,diphthine-ammonia ligase activity,-,Diphthami_syn_2,Atribacteria,
ko:K01599,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,PFAM Uroporphyrinogen decarboxylase (URO-D),-,URO-D,Atribacteria,
ko:K13010,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,UDP-4-amino-4-deoxy-L-arabinose aminotransferase,-,23S_rRNA_IVP,Atribacteria,
ko:K16203,0,7,-0.18401784,0.080926467,-0.264944307,-1.470458556,0.141437602,1,1,FALSE,FALSE,D-aminopeptidase,-,Peptidase_M55,Atribacteria,
-,734,1489,32.84951025,33.10292466,-0.253414412,-1.406466872,0.159585535,1,1,FALSE,FALSE,TIGRFAM TIGR00375 family protein,-,PHP_C,Atribacteria,
ko:K02119,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,ATP synthase (C/AC39) subunit,ntpC,vATP-synt_AC39,Atribacteria,
ko:K15770,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,GyrI-like small molecule binding domain,-,GyrI-like,Atribacteria,
ko:K10563,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,"Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized purines, such as 7,8-dihydro-8-oxoguanine (8-oxoG). Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'-phosphates",fpg,"Fapy_DNA_glyco,H2TH,zf-FPG_IleRS",Atribacteria,
ko:K10823,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,ATPases associated with a variety of cellular activities,-,"ABC_tran,oligo_HPY",Atribacteria,
ko:K02118,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type beta chain is a regulatory subunit,atpB,"ATP-synt_ab,ATP-synt_ab_N",Atribacteria,
ko:K02117,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type alpha chain is a catalytic subunit,ntpA,"ATP-synt_ab,ATP-synt_ab_N,ATP-synt_ab_Xtn",Atribacteria,
ko:K01439,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,succinyl-diaminopimelate desuccinylase activity,dapE2,"M20_dimer,Peptidase_M20,Peptidase_M28",Atribacteria,
ko:K06872,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,peptidyl-tyrosine sulfation,yidC,"60KD_IMP,DUF4124,PDZ_2,Peptidase_C11,SLH,TPM_phosphatase,TPR_11,Trypsin_2,YidC_periplas",Atribacteria,
ko:K05566,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,Domain related to MnhB subunit of Na+/H+ antiporter,-,MnhB,Atribacteria,
ko:K00012,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,UDP binding domain,-,"UDPG_MGDP_dh,UDPG_MGDP_dh_C,UDPG_MGDP_dh_N",Atribacteria,
ko:K01710,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,Belongs to the NAD(P)-dependent epimerase dehydratase family. dTDP-glucose dehydratase subfamily,rfbB,GDP_Man_Dehyd,Atribacteria,
ko:K06213,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,Acts as a magnesium transporter,-,"CBS,MgtE,MgtE_N",Atribacteria,
ko:K01939,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP,purA,Adenylsucc_synt,Atribacteria,
ko:K07576,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,metallo-beta-lactamase,-,"Beta-Casp,Lactamase_B,Lactamase_B_6,RMMBL",Atribacteria,
ko:K01491,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,methenyltetrahydrofolate cyclohydrolase activity,folD,"THF_DHG_CYH,THF_DHG_CYH_C",Atribacteria,
ko:K03072,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA,secD,"MMPL,SecD_SecF,Sec_GG",Atribacteria,
ko:K02025,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,PFAM binding-protein-dependent transport systems inner membrane component,-,BPD_transp_1,Atribacteria,
ko:K00133,0,6,-0.18401784,0.058644416,-0.242662257,-1.346791694,0.178047331,1,1,FALSE,FALSE,Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate,asd,"Semialdhyde_dh,Semialdhyde_dhC",Atribacteria,
ko:K07025,5,16,0.041006193,0.281464917,-0.240458724,-1.334561941,0.182019762,1,1,FALSE,FALSE,"haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED",-,"HAD_2,Hydrolase",Atribacteria,
ko:K17317,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,PFAM binding-protein-dependent transport systems inner membrane component,-,BPD_transp_1,Atribacteria,
ko:K02347,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,DNA polymerase,-,"DNA_pol_B_palm,DNA_pol_B_thumb,HHH_5,HHH_8,PHP",Atribacteria,
ko:K04101,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Bacterial capsule synthesis protein PGA_cap,capA,"LigB,Memo,PGA_cap",Atribacteria,
ko:K01619,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate,deoC,DeoC,Atribacteria,
ko:K07282,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Bacterial capsule synthesis protein PGA_cap,capA,"LigB,Memo,PGA_cap",Atribacteria,
ko:K07533,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins,prsA,"Rotamase_2,Rotamase_3,SurA_N_3",Atribacteria,
ko:K01805,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Belongs to the xylose isomerase family,-,-,Atribacteria,
ko:K05772,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,PBP superfamily domain,tupA,PBP_like_2,Atribacteria,
ko:K05713,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Bacterial capsule synthesis protein PGA_cap,capA,"LigB,Memo,PGA_cap",Atribacteria,
ko:K07403,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Membrane-bound serine protease (ClpP class),yqeZ,"CLP_protease,NfeD,SDH_sah",Atribacteria,
ko:K05571,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,monovalent cation:proton antiporter activity,-,PhaG_MnhG_YufB,Atribacteria,
ko:K07250,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,gabT,Aminotran_3,Atribacteria,
ko:K05570,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,antiporter activity,-,MrpF_PhaF,Atribacteria,
ko:K00989,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Phosphorolytic exoribonuclease that removes nucleotide residues following the -CCA terminus of tRNA and adds nucleotides to the ends of RNA molecules by using nucleoside diphosphates as substrates,rph,"Ham1p_like,RNase_PH,RNase_PH_C",Atribacteria,
ko:K20810,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,selenium metabolism protein SsnA,ssnA,Amidohydro_1,Atribacteria,
ko:K05567,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,"oxidoreductase, chain 4L",-,Oxidored_q2,Atribacteria,
ko:K00873,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Belongs to the pyruvate kinase family,pyk,"PEP-utilizers,PK,PK_C",Atribacteria,
ko:K03088,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Belongs to the sigma-70 factor family. ECF subfamily,sigZ,"Sigma70_r2,Sigma70_r4_2",Atribacteria,
ko:K00639,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,"Catalyzes the decarboxylative condensation of pimeloyl- acyl-carrier protein and L-alanine to produce 8-amino-7- oxononanoate (AON), acyl-carrier protein , and carbon dioxide",bioF,Aminotran_1_2,Atribacteria,
ko:K05569,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Na+/H+ ion antiporter subunit,-,MNHE,Atribacteria,
ko:K03389,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Cysteine-rich domain,-,CCG,Atribacteria,
ko:K01940,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Belongs to the argininosuccinate synthase family. Type 1 subfamily,argG,Arginosuc_synth,Atribacteria,
ko:K00823,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,gabT,Aminotran_3,Atribacteria,
ko:K02103,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,PFAM regulatory protein GntR HTH,araR,"GntR,Peripla_BP_3",Atribacteria,
ko:K02124,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,ATP synthase subunit C,-,ATP-synt_C,Atribacteria,
ko:K02121,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,ATP synthase (E/31 kDa) subunit,-,vATP-synt_E,Atribacteria,
ko:K10547,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Belongs to the binding-protein-dependent transport system permease family,-,BPD_transp_2,Atribacteria,
ko:K03519,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,CO dehydrogenase flavoprotein domain protein,-,"CO_deh_flav_C,FAD_binding_5",Atribacteria,
ko:K01537,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,"ATPase, P-type (transporting), HAD superfamily, subfamily IC",-,"Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase",Atribacteria,
ko:K01531,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,magnesium-translocating P-type ATPase,mgtA,"Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase",Atribacteria,
ko:K00864,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate,glpK,"FGGY_C,FGGY_N",Atribacteria,
ko:K02123,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,V-type ATPase 116kDa subunit family,ntpI,V_ATPase_I,Atribacteria,
ko:K00459,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Nitronate monooxygenase,-,NMO,Atribacteria,
ko:K21929,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Uracil-DNA glycosylase,-,UDG,Atribacteria,
ko:K13788,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,phosphate acetyltransferase,pta,"AAA_26,DRTGG,PTA_PTB",Atribacteria,
ko:K00571,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Belongs to the N(4) N(6)-methyltransferase family,-,N6_N4_Mtase,Atribacteria,
ko:K02650,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,-,-,-,Atribacteria,
ko:K01678,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,"TIGRFAM hydro-lyase, Fe-S type, tartrate fumarate subfamily, beta subunit",fumB,Fumerase_C,Atribacteria,
ko:K21636,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,CTP reductase activity,-,"ATP-cone,NRDD",Atribacteria,
ko:K21993,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,Formate/nitrite transporter,-,Form_Nir_trans,Atribacteria,
ko:K02122,0,5,-0.18401784,0.036362366,-0.220380207,-1.223124831,0.221282551,1,1,FALSE,FALSE,ATP synthase (F/14-kDa) subunit,-,ATP-synt_F,Atribacteria,
ko:K02673,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,Pilus assembly protein PilX,-,"DUF4900,PilX_N",Atribacteria,
ko:K01785,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,Converts alpha-aldose to the beta-anomer,-,Aldose_epim,Atribacteria,
ko:K02913,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,Belongs to the bacterial ribosomal protein bL33 family,rpmG,Ribosomal_L33,Atribacteria,
ko:K01620,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,aromatic amino acid beta-eliminating lyase threonine aldolase,ltaA,Beta_elim_lyase,Atribacteria,
ko:K01625,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,PFAM KDPG and KHG aldolase,-,Aldolase,Atribacteria,
ko:K02653,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,"Type II secretion system (T2SS), protein F",tapC,T2SSF,Atribacteria,
ko:K02662,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,TIGRFAM type IV pilus assembly protein PilM,pilM,PilM_2,Atribacteria,
ko:K06925,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,PFAM Uncharacterised P-loop hydrolase UPF0079,ydiB,TsaE,Atribacteria,
ko:K06223,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,D12 class N6 adenine-specific DNA methyltransferase,-,MethyltransfD12,Atribacteria,
ko:K01778,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,"Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan",dapF,DAP_epimerase,Atribacteria,
ko:K06897,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,Metallo-beta-lactamase superfamily,-,Lactamase_B,Atribacteria,
ko:K06889,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,Alpha/beta hydrolase family,-,Peptidase_S9,Atribacteria,
ko:K02672,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,-,-,-,Atribacteria,
ko:K02671,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,-,-,-,Atribacteria,
ko:K02601,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,"Participates in transcription elongation, termination and antitermination",nusG,"KOW,NusG",Atribacteria,
ko:K01776,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,Provides the (R)-glutamate required for cell wall biosynthesis,murI,Asp_Glu_race,Atribacteria,
ko:K02612,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,metal-sulfur cluster biosynthetic enzyme,-,FeS_assembly_P,Atribacteria,
ko:K05916,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,PFAM Cupin domain,-,"Cupin_2,Globin",Atribacteria,
ko:K01755,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,argininosuccinate lyase,argH,"ASL_C2,Lyase_1",Atribacteria,
ko:K02666,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,Type II and III secretion system protein,-,"LysM,Secretin,Secretin_N",Atribacteria,
ko:K01654,0,4,-0.18401784,0.014080316,-0.198098157,-1.099457969,0.271568358,1,1,FALSE,FALSE,synthase,pseI,"NeuB,SAF",Atribacteria,
